,epoch,train_loss,val_loss,accuracy,val_accuracy,time
0,1,2.009,1.852,19.55,26.53,6.7
1,2,1.803,1.782,29.59,32.1,7.0
2,3,1.62,1.512,38.56,44.83,6.4
3,4,1.494,1.472,44.08,41.38,6.2
4,5,1.406,1.385,47.07,44.56,6.2
5,6,1.341,1.354,49.4,45.89,6.6
6,7,1.253,1.189,53.79,56.76,6.3
7,8,1.213,1.142,54.39,57.03,6.5
8,9,1.12,1.056,58.11,61.27,6.3
9,10,1.066,1.037,60.9,55.97,6.4
10,11,0.992,0.979,63.96,62.6,7.4
11,12,0.979,0.912,64.83,64.46,6.2
12,13,0.917,0.852,66.56,66.05,6.4
13,14,0.875,0.845,68.55,65.78,6.7
14,15,0.855,0.809,69.15,68.7,7.2
15,16,0.818,0.903,71.21,67.11,6.4
16,17,0.768,0.904,72.47,66.84,6.5
17,18,0.768,0.804,73.27,71.35,7.5
18,19,0.707,0.875,74.0,70.29,7.1
19,20,0.692,0.743,75.33,73.21,7.3
20,21,0.671,0.706,76.13,75.07,6.8
21,22,0.653,0.657,77.19,74.8,7.1
22,23,0.6,0.658,77.33,77.19,6.8
23,24,0.617,0.641,78.06,77.45,7.8
24,25,0.594,0.71,78.39,73.74,7.5
25,26,0.574,0.616,78.59,77.19,6.6
26,27,0.569,0.937,78.79,64.99,7.3
27,28,0.559,0.714,79.72,76.39,6.9
28,29,0.575,0.586,79.32,77.98,6.5
29,30,0.528,0.578,81.72,80.37,6.5
30,31,0.523,0.603,80.32,78.25,6.8
31,32,0.501,0.611,81.78,77.72,6.4
32,33,0.501,0.695,81.98,73.74,6.3
33,34,0.499,0.628,81.72,79.31,6.5
34,35,0.486,0.63,82.78,79.31,6.1
35,36,0.46,0.616,82.85,79.31,6.3
36,37,0.473,0.543,82.45,79.84,6.4
37,38,0.458,0.558,83.64,80.37,6.2
38,39,0.428,0.515,84.84,81.43,6.4
39,40,0.49,0.634,83.18,80.64,6.6
40,41,0.44,0.599,83.58,78.25,7.1
41,42,0.426,0.614,84.77,76.92,6.8
42,43,0.431,0.59,84.64,79.05,6.7
43,44,0.395,0.713,85.04,79.05,7.5
44,45,0.418,0.72,84.04,75.33,6.3
45,46,0.405,0.575,85.24,81.43,6.6
46,47,0.385,0.574,85.64,80.11,6.3
47,48,0.375,0.593,86.3,80.11,6.5
48,49,0.379,0.573,86.64,80.9,6.4
49,50,0.364,0.542,85.17,82.49,6.2
50,51,0.372,0.564,85.31,81.7,6.5
51,52,0.364,0.568,86.24,81.43,9.3
52,53,0.375,0.612,86.7,79.31,7.9
53,54,0.324,0.61,87.77,80.11,8.1
54,55,0.36,0.539,86.9,80.37,7.0
55,56,0.356,0.6,87.17,80.9,6.2
56,57,0.343,0.599,87.23,81.17,7.5
57,58,0.372,0.501,86.77,81.7,7.4
58,59,0.35,0.544,86.9,80.37,6.6
59,60,0.322,0.562,88.16,82.23,6.9
60,61,0.33,0.567,88.76,79.31,6.2
61,62,0.279,0.655,89.76,77.19,7.5
62,63,0.307,0.572,89.49,79.84,7.2
63,64,0.294,0.528,89.83,83.29,7.6
64,65,0.305,0.568,88.83,80.64,6.6
65,66,0.3,0.642,88.56,79.31,6.6
66,67,0.294,0.636,89.1,79.84,6.1
67,68,0.31,0.69,88.16,78.78,6.2
68,69,0.279,0.584,89.76,81.96,6.2
69,70,0.246,0.542,91.09,83.29,6.5
70,71,0.307,0.609,88.7,83.55,6.9
71,72,0.265,0.556,90.16,82.49,7.0
72,73,0.253,0.657,90.43,78.78,6.4
73,74,0.255,0.594,91.29,82.49,6.3
74,75,0.281,0.648,90.23,79.31,6.4
75,76,0.234,0.668,91.62,79.31,6.2
76,77,0.226,0.636,92.22,80.64,6.5
77,78,0.268,0.735,90.56,78.78,6.2
78,79,0.28,0.66,90.16,80.37,6.4
79,80,0.244,0.604,90.82,82.76,6.2
80,81,0.248,0.621,90.36,82.49,6.3
81,82,0.198,0.626,92.89,81.96,6.4
82,83,0.217,0.656,92.22,81.7,6.4
83,84,0.229,0.719,91.95,79.84,6.3
84,85,0.203,0.602,92.69,80.64,6.4
85,86,0.206,0.646,92.42,82.76,6.3
86,87,0.211,0.622,91.76,81.43,6.4
87,88,0.219,0.62,92.22,81.7,7.0
88,89,0.192,0.66,93.09,81.7,9.0
89,90,0.182,0.652,93.55,81.17,9.0
90,91,0.199,0.806,92.75,79.84,7.6
91,92,0.197,0.696,92.62,79.84,8.4
92,93,0.18,0.685,94.02,81.7,6.9
93,94,0.151,0.668,94.35,83.55,8.9
94,95,0.194,0.994,93.22,79.05,6.9
95,96,0.255,0.671,90.89,82.23,6.3
96,97,0.195,0.698,93.15,81.43,6.4
97,98,0.154,0.747,94.68,83.29,6.4
98,99,0.202,0.713,93.35,82.76,6.4
99,100,0.149,0.732,94.81,83.02,6.7
100,101,0.155,0.725,94.35,81.17,8.3
101,102,0.172,0.699,94.08,81.7,6.9
102,103,0.151,0.687,94.81,84.08,7.6
103,104,0.187,0.775,93.15,80.64,6.5
104,105,0.175,0.702,94.28,83.29,6.5
105,106,0.159,0.781,94.02,82.49,6.4
106,107,0.139,0.663,94.55,83.82,9.2
107,108,0.169,0.771,93.95,81.43,9.3
108,109,0.125,0.748,95.35,81.7,8.0
109,110,0.189,0.958,93.48,79.58,7.4
110,111,0.188,0.726,93.22,82.49,6.7
111,112,0.136,0.755,95.35,82.23,6.4
112,113,0.122,0.709,95.21,82.23,6.5
113,114,0.141,0.786,95.08,82.23,6.6
114,115,0.106,0.768,96.34,82.23,8.5
115,116,0.153,0.805,95.08,79.58,7.5
116,117,0.135,1.1,95.28,79.05,7.0
117,118,0.121,0.966,95.81,80.9,6.3
118,119,0.139,0.892,94.95,77.72,8.8
119,120,0.146,0.759,95.21,82.49,6.4
120,121,0.12,1.162,95.81,78.25,6.5
121,122,0.15,0.768,94.55,83.29,6.5
122,123,0.094,0.683,97.07,84.62,6.7
123,124,0.109,0.795,96.28,82.76,7.1
124,125,0.12,1.029,95.35,80.37,6.3
125,126,0.16,0.878,93.95,80.37,6.5
126,127,0.114,0.81,96.41,82.49,6.5
127,128,0.1,0.834,96.68,81.7,7.5
128,129,0.106,0.895,96.28,81.17,7.8
129,130,0.122,0.831,95.48,81.7,8.4
130,131,0.112,0.805,95.88,80.9,6.3
131,132,0.088,0.766,97.61,81.96,6.6
132,133,0.112,0.801,96.28,82.49,8.1
133,134,0.109,0.888,96.28,80.9,6.3
134,135,0.11,0.854,95.88,82.76,7.0
135,136,0.089,0.885,96.88,82.76,6.5
136,137,0.106,1.156,96.94,79.84,8.8
137,138,0.106,0.731,96.14,83.82,6.9
138,139,0.08,0.931,96.74,81.43,7.3
139,140,0.109,0.809,96.41,83.29,6.5
140,141,0.086,0.826,97.61,82.76,6.4
141,142,0.134,0.742,95.08,85.68,6.6
142,143,0.083,0.923,97.01,82.49,6.7
143,144,0.102,0.898,96.41,83.55,6.4
144,145,0.127,1.251,95.41,77.98,6.6
145,146,0.143,0.646,95.08,83.55,6.4
146,147,0.076,0.859,97.14,81.7,6.4
147,148,0.066,0.811,97.94,83.55,6.7
148,149,0.054,1.31,98.27,79.31,6.8
149,150,0.094,0.886,96.08,82.49,6.8
